customer_id,customer_name,segment,region
CUST-0001,Customer 1,Consumer,West
CUST-0002,Customer 2,Small Business,North-East
CUST-0003,Customer 3,Corporate,North
CUST-0004,Customer 4,Corporate,North-East
CUST-0005,Customer 5,Consumer,West
CUST-0006,Customer 6,Consumer,East
CUST-0007,Customer 7,Consumer,North-East
CUST-0008,Customer 8,Small Business,East
CUST-0009,Customer 9,Corporate,North
CUST-0010,Customer 10,Corporate,Central
CUST-0011,Customer 11,Consumer,North
CUST-0012,Customer 12,Small Business,North-East
CUST-0013,Customer 13,Small Business,East
CUST-0014,Customer 14,Consumer,East
CUST-0015,Customer 15,Consumer,West
CUST-0016,Customer 16,Consumer,East
CUST-0017,Customer 17,Consumer,West
CUST-0018,Customer 18,Corporate,Central
CUST-0019,Customer 19,Consumer,North-East
CUST-0020,Customer 20,Consumer,West
CUST-0021,Customer 21,Corporate,Central
CUST-0022,Customer 22,Consumer,East
CUST-0023,Customer 23,Consumer,East
CUST-0024,Customer 24,Consumer,Central
CUST-0025,Customer 25,Consumer,East
CUST-0026,Customer 26,Corporate,Central
CUST-0027,Customer 27,Consumer,West
CUST-0028,Customer 28,Corporate,West
CUST-0029,Customer 29,Corporate,Central
CUST-0030,Customer 30,Consumer,West
CUST-0031,Customer 31,Corporate,West
CUST-0032,Customer 32,Consumer,West
CUST-0033,Customer 33,Consumer,North
CUST-0034,Customer 34,Small Business,North-East
CUST-0035,Customer 35,Small Business,East
CUST-0036,Customer 36,Small Business,North
CUST-0037,Customer 37,Consumer,West
CUST-0038,Customer 38,Consumer,Central
CUST-0039,Customer 39,Corporate,West
CUST-0040,Customer 40,Consumer,North-East
CUST-0041,Customer 41,Consumer,West
CUST-0042,Customer 42,Consumer,Central
CUST-0043,Customer 43,Consumer,North-East
CUST-0044,Customer 44,Small Business,West
CUST-0045,Customer 45,Consumer,North-East
CUST-0046,Customer 46,Corporate,East
CUST-0047,Customer 47,Consumer,East
CUST-0048,Customer 48,Corporate,West
CUST-0049,Customer 49,Corporate,North-East
CUST-0050,Customer 50,Consumer,Central
CUST-0051,Customer 51,Small Business,West
CUST-0052,Customer 52,Corporate,East
