order_item_id,order_id,product_id,quantity,unit_price,discount,revenue,cost,profit
1,ORD-10000,PROD-014,1,30.09,0.0,30.09,19.72,10.37
2,ORD-10001,PROD-010,4,45.55,0.0,182.2,84.46,97.74
3,ORD-10001,PROD-008,4,230.7,0.1,830.52,581.92,248.6
4,ORD-10001,PROD-012,3,60.8,0.0,182.4,104.19,78.21
5,ORD-10002,PROD-005,3,117.17,0.0,351.51,231.52,119.99
6,ORD-10003,PROD-001,4,1017.03,0.0,4068.12,2209.69,1858.43
7,ORD-10003,PROD-011,1,82.71,0.0,82.71,38.15,44.56
8,ORD-10004,PROD-014,1,28.86,0.15,24.53,11.11,13.42
9,ORD-10004,PROD-015,4,18.35,0.0,73.4,41.66,31.74
10,ORD-10004,PROD-009,3,174.35,0.0,523.05,246.52,276.53
11,ORD-10005,PROD-007,4,549.24,0.0,2196.96,1191.16,1005.8
12,ORD-10005,PROD-005,1,109.81,0.0,109.81,56.73,53.08
13,ORD-10005,PROD-011,2,77.62,0.1,139.72,87.3,52.42
14,ORD-10006,PROD-007,3,569.2,0.1,1536.84,1068.84,468.0
15,ORD-10006,PROD-006,3,91.75,0.0,275.25,156.57,118.68
16,ORD-10007,PROD-015,3,19.96,0.0,59.88,38.81,21.07
17,ORD-10007,PROD-012,1,60.85,0.0,60.85,36.36,24.49
18,ORD-10008,PROD-008,1,220.37,0.0,220.37,145.58,74.79
19,ORD-10009,PROD-009,3,183.08,0.0,549.24,272.74,276.5
20,ORD-10009,PROD-010,3,47.91,0.05,136.54,70.52,66.02
21,ORD-10010,PROD-012,4,72.65,0.05,276.07,134.51,141.56
22,ORD-10010,PROD-013,2,53.85,0.1,96.93,65.1,31.83
23,ORD-10011,PROD-007,2,511.59,0.1,920.86,619.17,301.69
24,ORD-10011,PROD-004,3,42.88,0.0,128.64,64.98,63.66
25,ORD-10012,PROD-013,4,56.3,0.05,213.94,100.23,113.71
26,ORD-10012,PROD-011,4,80.97,0.0,323.88,213.39,110.49
27,ORD-10013,PROD-007,3,578.08,0.0,1734.24,1131.6,602.64
28,ORD-10013,PROD-009,2,188.76,0.05,358.64,168.18,190.46
29,ORD-10013,PROD-006,3,91.52,0.05,260.83,119.43,141.4
30,ORD-10014,PROD-016,4,20.04,0.0,80.16,44.29,35.87
31,ORD-10014,PROD-015,1,18.69,0.0,18.69,12.21,6.48
32,ORD-10015,PROD-004,2,38.21,0.1,68.78,39.94,28.84
33,ORD-10015,PROD-003,4,72.03,0.1,259.31,131.76,127.55
34,ORD-10016,PROD-007,2,518.4,0.0,1036.8,573.57,463.23
35,ORD-10016,PROD-006,3,91.06,0.15,232.2,106.11,126.09
36,ORD-10016,PROD-002,4,263.77,0.0,1055.08,597.56,457.52
37,ORD-10017,PROD-011,2,93.29,0.0,186.58,103.76,82.82
38,ORD-10017,PROD-008,3,258.5,0.0,775.5,382.4,393.1
39,ORD-10017,PROD-012,4,60.83,0.0,243.32,111.05,132.27
40,ORD-10018,PROD-004,1,42.43,0.15,36.07,23.84,12.23
41,ORD-10019,PROD-014,4,32.97,0.0,131.88,78.93,52.95
42,ORD-10019,PROD-001,4,874.48,0.0,3497.92,1728.33,1769.59
43,ORD-10019,PROD-011,3,80.69,0.0,242.07,162.35,79.72
44,ORD-10020,PROD-002,3,276.31,0.0,828.93,409.13,419.8
45,ORD-10021,PROD-008,2,236.69,0.05,449.71,225.86,223.85
46,ORD-10021,PROD-003,2,83.6,0.0,167.2,90.47,76.73
47,ORD-10022,PROD-005,1,102.78,0.05,97.64,53.44,44.2
48,ORD-10022,PROD-012,2,59.0,0.15,100.3,45.95,54.35
49,ORD-10022,PROD-002,1,261.62,0.15,222.38,158.75,63.63
50,ORD-10023,PROD-012,4,67.72,0.0,270.88,153.32,117.56
51,ORD-10023,PROD-006,4,102.71,0.05,390.3,257.78,132.52
52,ORD-10024,PROD-010,3,50.19,0.05,143.04,97.08,45.96
53,ORD-10024,PROD-009,4,168.01,0.1,604.84,426.33,178.51
54,ORD-10025,PROD-014,4,28.4,0.0,113.6,72.63,40.97
55,ORD-10026,PROD-005,3,112.27,0.0,336.81,178.48,158.33
56,ORD-10026,PROD-007,3,560.15,0.0,1680.45,1121.89,558.56
57,ORD-10026,PROD-006,1,97.56,0.05,92.68,54.22,38.46
58,ORD-10027,PROD-001,3,1000.85,0.1,2702.3,1794.03,908.27
59,ORD-10027,PROD-003,1,81.32,0.05,77.25,46.88,30.37
60,ORD-10028,PROD-002,3,286.29,0.0,858.87,417.7,441.17
61,ORD-10028,PROD-009,4,198.6,0.0,794.4,464.5,329.9
62,ORD-10028,PROD-001,1,876.62,0.0,876.62,567.01,309.61
63,ORD-10029,PROD-002,1,286.07,0.1,257.46,142.55,114.91
64,ORD-10029,PROD-010,2,46.51,0.0,93.02,47.89,45.13
65,ORD-10029,PROD-004,3,40.22,0.0,120.66,56.94,63.72
66,ORD-10030,PROD-005,1,110.83,0.1,99.75,60.84,38.91
67,ORD-10030,PROD-009,4,167.28,0.05,635.66,308.07,327.59
68,ORD-10030,PROD-007,3,481.68,0.05,1372.79,712.92,659.87
69,ORD-10031,PROD-007,4,482.36,0.15,1640.02,785.85,854.17
70,ORD-10031,PROD-001,2,917.3,0.0,1834.6,1207.73,626.87
71,ORD-10031,PROD-013,4,50.19,0.0,200.76,122.08,78.68
72,ORD-10032,PROD-016,4,24.15,0.1,86.94,52.81,34.13
73,ORD-10032,PROD-005,2,120.63,0.0,241.26,167.7,73.56
74,ORD-10032,PROD-001,4,894.7,0.05,3399.86,2040.75,1359.11
75,ORD-10033,PROD-002,2,270.93,0.0,541.86,324.37,217.49
76,ORD-10033,PROD-013,1,50.96,0.05,48.41,34.45,13.96
77,ORD-10033,PROD-007,2,561.32,0.0,1122.64,528.44,594.2
78,ORD-10034,PROD-005,4,110.07,0.0,440.28,252.26,188.02
79,ORD-10034,PROD-009,1,199.24,0.05,189.28,133.96,55.32
