order_id,order_date,customer_id,sales_channel
ORD-10000,2025-11-19,CUST-0229,Retail Store
ORD-10001,2025-04-05,CUST-0261,Retail Store
ORD-10002,2025-09-01,CUST-0164,B2B Sales
ORD-10003,2024-04-14,CUST-0287,Online
ORD-10004,2024-04-08,CUST-0010,B2B Sales
ORD-10005,2025-05-25,CUST-0195,Online
ORD-10006,2025-01-19,CUST-0118,Online
ORD-10007,2025-02-08,CUST-0270,Online
ORD-10008,2025-06-01,CUST-0080,Retail Store
ORD-10009,2025-04-20,CUST-0093,Online
ORD-10010,2025-12-09,CUST-0266,Retail Store
ORD-10011,2025-10-06,CUST-0257,Retail Store
ORD-10012,2025-03-12,CUST-0133,Retail Store
ORD-10013,2024-01-23,CUST-0276,Retail Store
ORD-10014,2025-07-18,CUST-0264,Online
ORD-10015,2025-11-07,CUST-0171,Online
ORD-10016,2025-12-14,CUST-0001,Online
ORD-10017,2025-04-02,CUST-0064,Online
ORD-10018,2024-03-23,CUST-0284,Online
ORD-10019,2024-05-24,CUST-0121,Online
ORD-10020,2024-03-25,CUST-0107,Online
ORD-10021,2024-03-18,CUST-0175,B2B Sales
ORD-10022,2025-04-01,CUST-0204,Retail Store
ORD-10023,2024-01-01,CUST-0165,Online
ORD-10024,2024-02-20,CUST-0120,Retail Store
ORD-10025,2025-11-15,CUST-0044,Online
ORD-10026,2025-12-17,CUST-0156,Online
ORD-10027,2025-03-21,CUST-0207,Retail Store
ORD-10028,2025-03-24,CUST-0108,Online
ORD-10029,2025-05-02,CUST-0251,Online
ORD-10030,2024-02-03,CUST-0130,B2B Sales
ORD-10031,2024-12-13,CUST-0293,B2B Sales
ORD-10032,2024-04-04,CUST-0020,Retail Store
ORD-10033,2024-03-12,CUST-0282,Retail Store
ORD-10034,2025-07-04,CUST-0285,Retail Store
ORD-10035,2024-06-02,CUST-0001,Online
ORD-10036,2024-09-06,CUST-0119,Online
ORD-10037,2025-11-04,CUST-0035,Online
ORD-10038,2025-03-13,CUST-0198,Online
ORD-10039,2024-04-27,CUST-0245,Retail Store
ORD-10040,2024-11-01,CUST-0059,Online
ORD-10041,2024-09-24,CUST-0161,B2B Sales
ORD-10042,2024-02-23,CUST-0179,B2B Sales
ORD-10043,2024-08-23,CUST-0206,Retail Store
ORD-10044,2025-01-23,CUST-0012,Retail Store
ORD-10045,2025-02-04,CUST-0276,B2B Sales
ORD-10046,2025-09-15,CUST-0181,Online
ORD-10047,2024-10-29,CUST-0242,Retail Store
ORD-10048,2024-07-25,CUST-0216,Online
ORD-10049,2024-08-16,CUST-0251,Retail Store
ORD-10050,2025-07-31,CUST-0299,Online
ORD-10051,2024-03-15,CUST-0126,B2B Sales
ORD-10052,2025-03-10,CUST-0217,B2B Sales
ORD-10053,2024-04-12,CUST-0285,Online
ORD-10054,2025-02-25,CUST-0185,Online
ORD-10055,2025-12-04,CUST-0039,B2B Sales
ORD-10056,2024-11-01,CUST-0223,Online
ORD-10057,2024-04-07,CUST-0184,B2B Sales
ORD-10058,2024-11-30,CUST-0178,Retail Store
ORD-10059,2025-03-10,CUST-0294,Online
ORD-10060,2025-03-22,CUST-0151,Online
ORD-10061,2024-11-03,CUST-0126,Online
ORD-10062,2024-09-05,CUST-0234,Retail Store
ORD-10063,2024-06-14,CUST-0008,Online
ORD-10064,2025-04-25,CUST-0129,Retail Store
ORD-10065,2024-11-30,CUST-0264,Online
ORD-10066,2025-06-25,CUST-0157,Retail Store
ORD-10067,2024-04-15,CUST-0005,B2B Sales
ORD-10068,2025-07-16,CUST-0086,B2B Sales
ORD-10069,2024-03-21,CUST-0175,Online
ORD-10070,2024-05-12,CUST-0290,Retail Store
ORD-10071,2024-05-17,CUST-0193,Retail Store
ORD-10072,2024-07-02,CUST-0119,Retail Store
ORD-10073,2025-02-04,CUST-0218,B2B Sales
ORD-10074,2024-11-25,CUST-0114,Online
ORD-10075,2025-05-22,CUST-0145,Online
ORD-10076,2024-03-09,CUST-0026,B2B Sales
ORD-10077,2025-06-29,CUST-0136,Online
ORD-10078,2024-02-22,CUST-0232,Retail Store
ORD-10079,2025-03-25,CUST-0076,B2B Sales
ORD-10080,2024-07-23,CUST-0289,Online
ORD-10081,2024-05-05,CUST-0001,B2B Sales
ORD-10082,2024-02-12,CUST-0147,Online
ORD-10083,2024-04-20,CUST-0287,Retail Store
ORD-10084,2025-10-24,CUST-0142,Retail Store
ORD-10085,2024-07-01,CUST-0053,B2B Sales
ORD-10086,2024-04-04,CUST-0069,Online
ORD-10087,2025-01-08,CUST-0090,Online
ORD-10088,2025-06-03,CUST-0220,Retail Store
ORD-10089,2024-12-25,CUST-0192,Retail Store
ORD-10090,2025-11-26,CUST-0063,Retail Store
ORD-10091,2024-10-07,CUST-0073,Online
ORD-10092,2024-07-13,CUST-0161,Online
ORD-10093,2024-07-13,CUST-0169,Online
ORD-10094,2025-10-28,CUST-0089,Retail Store
ORD-10095,2024-04-02,CUST-0176,Online
ORD-10096,2025-11-02,CUST-0269,Online
ORD-10097,2024-03-01,CUST-0073,B2B Sales
ORD-10098,2025-09-25,CUST-0245,Online
ORD-10099,2024-02-20,CUST-0077,B2B Sales
ORD-10100,2025-02-06,CUST-0159,Retail Store
ORD-10101,2024-01-05,CUST-0098,Retail Store
ORD-10102,2025-04-10,CUST-0102,Online
ORD-10103,2025-08-26,CUST-0132,Online
ORD-10104,2025-11-12,CUST-0102,Retail Store
ORD-10105,2025-06-17,CUST-0019,Retail Store
ORD-10106,2025-02-08,CUST-0082,Retail Store
ORD-10107,2025-05-27,CUST-0279,Online
ORD-10108,2025-10-06,CUST-0129,Retail Store
ORD-10109,2024-08-20,CUST-0089,Retail Store
ORD-10110,2025-06-07,CUST-0213,Retail Store
ORD-10111,2024-12-11,CUST-0143,Retail Store
ORD-10112,2024-02-15,CUST-0065,Retail Store
ORD-10113,2025-06-29,CUST-0076,Retail Store
ORD-10114,2024-03-18,CUST-0199,Online
ORD-10115,2025-12-30,CUST-0143,Online
ORD-10116,2024-03-13,CUST-0093,Online
ORD-10117,2024-09-05,CUST-0224,Online
ORD-10118,2024-02-16,CUST-0291,Online
ORD-10119,2024-04-30,CUST-0102,Online
ORD-10120,2024-08-01,CUST-0267,Online
ORD-10121,2024-08-26,CUST-0110,Online
ORD-10122,2024-02-25,CUST-0265,Retail Store
ORD-10123,2024-12-15,CUST-0003,B2B Sales
ORD-10124,2024-04-16,CUST-0085,Online
ORD-10125,2024-02-17,CUST-0282,B2B Sales
ORD-10126,2025-07-26,CUST-0117,Retail Store
ORD-10127,2024-12-02,CUST-0221,Online
ORD-10128,2024-01-26,CUST-0154,Online
ORD-10129,2024-09-13,CUST-0153,Retail Store
ORD-10130,2024-01-08,CUST-0012,Retail Store
ORD-10131,2025-09-16,CUST-0133,Retail Store
ORD-10132,2024-09-09,CUST-0293,Online
ORD-10133,2025-11-22,CUST-0300,Online
ORD-10134,2025-12-19,CUST-0228,Online
ORD-10135,2024-10-29,CUST-0271,Online
ORD-10136,2025-09-30,CUST-0043,Online
ORD-10137,2024-02-25,CUST-0021,Online
ORD-10138,2025-12-26,CUST-0107,Retail Store
ORD-10139,2025-06-09,CUST-0117,B2B Sales
ORD-10140,2025-04-18,CUST-0124,Online
ORD-10141,2024-01-28,CUST-0281,B2B Sales
ORD-10142,2024-03-18,CUST-0292,Online
ORD-10143,2024-08-03,CUST-0203,Online
ORD-10144,2025-01-20,CUST-0051,Online
ORD-10145,2024-12-30,CUST-0271,Retail Store
ORD-10146,2025-10-27,CUST-0277,B2B Sales
ORD-10147,2025-06-09,CUST-0141,Retail Store
ORD-10148,2025-11-29,CUST-0275,Online
ORD-10149,2024-11-07,CUST-0290,Retail Store
ORD-10150,2024-01-07,CUST-0052,Online
ORD-10151,2024-01-03,CUST-0027,B2B Sales
ORD-10152,2025-09-14,CUST-0157,Retail Store
ORD-10153,2024-12-28,CUST-0239,Online
ORD-10154,2025-05-22,CUST-0156,Retail Store
ORD-10155,2024-09-30,CUST-0291,Retail Store
ORD-10156,2025-05-20,CUST-0136,Online
ORD-10157,2024-01-15,CUST-0144,Retail Store
ORD-10158,2024-07-10,CUST-0106,Online
ORD-10159,2025-09-22,CUST-0158,Retail Store
ORD-10160,2025-04-29,CUST-0146,Retail Store
ORD-10161,2024-01-28,CUST-0002,Retail Store
ORD-10162,2025-12-14,CUST-0077,Retail Store
ORD-10163,2024-02-08,CUST-0132,Retail Store
ORD-10164,2024-09-29,CUST-0090,Online
ORD-10165,2024-08-18,CUST-0263,Retail Store
ORD-10166,2024-03-26,CUST-0108,Online
ORD-10167,2025-04-18,CUST-0074,Online
ORD-10168,2024-05-05,CUST-0039,Online
ORD-10169,2025-06-20,CUST-0159,Online
ORD-10170,2024-05-24,CUST-0071,Retail Store
ORD-10171,2025-06-08,CUST-0241,Online
ORD-10172,2024-07-30,CUST-0298,Retail Store
ORD-10173,2024-01-25,CUST-0036,Online
ORD-10174,2025-08-02,CUST-0084,Online
ORD-10175,2025-01-28,CUST-0263,Retail Store
ORD-10176,2024-03-07,CUST-0172,Online
ORD-10177,2024-08-20,CUST-0173,Online
ORD-10178,2024-04-18,CUST-0047,Retail Store
ORD-10179,2024-05-25,CUST-0141,Online
ORD-10180,2024-04-20,CUST-0118,Retail Store
ORD-10181,2024-08-15,CUST-0277,Online
ORD-10182,2024-04-20,CUST-0214,Online
ORD-10183,2025-04-14,CUST-0220,Retail Store
ORD-10184,2024-02-03,CUST-0026,Online
ORD-10185,2025-09-14,CUST-0009,Online
ORD-10186,2025-01-03,CUST-0271,Online
ORD-10187,2025-08-17,CUST-0010,Online
ORD-10188,2025-07-07,CUST-0121,Retail Store
ORD-10189,2025-02-28,CUST-0125,Online
ORD-10190,2025-09-04,CUST-0170,Retail Store
ORD-10191,2025-06-01,CUST-0072,B2B Sales
ORD-10192,2025-11-22,CUST-0152,Online
ORD-10193,2024-10-08,CUST-0208,B2B Sales
ORD-10194,2024-11-15,CUST-0049,Online
ORD-10195,2025-03-18,CUST-0154,B2B Sales
ORD-10196,2024-11-10,CUST-0293,Online
ORD-10197,2025-01-11,CUST-0068,Retail Store
ORD-10198,2024-10-15,CUST-0050,Online
ORD-10199,2025-03-12,CUST-0152,Online
ORD-10200,2025-10-23,CUST-0019,Retail Store
ORD-10201,2024-10-03,CUST-0100,Retail Store
ORD-10202,2025-12-10,CUST-0060,Online
ORD-10203,2025-08-04,CUST-0167,Online
ORD-10204,2025-05-17,CUST-0202,Retail Store
ORD-10205,2025-09-15,CUST-0146,Retail Store
ORD-10206,2025-05-30,CUST-0164,B2B Sales
